"SKU","Price","Date"
1,129.98,"2009-06-01"
2,57.96,"2009-06-01"
3,84.38,"2009-12-08"
1,159.96,"2009-12-08"
2,56.98,"2009-12-08"
2,58.38,"2009-12-08"
2,57.96,"2009-06-01"
1,93.48,"2009-06-01"
1,93.48,"2009-06-01"
2,61.97,"2009-12-08"
1,149.37,"2009-12-08"
3,115.98,"2009-06-01"
1,178.77,"2009-12-08"
2,61.95,"2009-06-01"
1,128.65,"2009-06-01"
2,57.96,"2009-06-01"
2,58,"2009-06-01"
2,56.99,"2009-12-08"
1,160.48,"2009-12-08"
1,156.26,"2009-12-09"
1,129.98,"2009-06-02"
1,178.77,"2009-12-09"
3,115.98,"2009-06-02"
3,84.38,"2009-12-09"
2,59.22,"2009-12-09"
2,57.96,"2009-06-02"
2,57.96,"2009-06-02"
1,128.65,"2009-06-02"
2,54.9,"2009-12-09"
2,58,"2009-06-02"
1,160.48,"2009-12-09"
1,93.48,"2009-06-02"
1,93.48,"2009-06-02"
2,57.96,"2009-06-02"
1,129.98,"2009-06-03"
3,115.98,"2009-06-03"
1,158.56,"2009-12-10"
1,149.37,"2009-12-09"
2,54.99,"2009-12-09"
2,57.96,"2009-06-03"
3,84.38,"2009-12-10"
2,59.22,"2009-12-10"
2,57.96,"2009-06-03"
1,93.48,"2009-06-03"
1,128.65,"2009-06-03"
2,57.96,"2009-06-03"
2,58,"2009-06-03"
1,178.77,"2009-12-10"
2,53.99,"2009-12-10"
1,93.48,"2009-06-03"
1,149.37,"2009-12-10"
1,160.48,"2009-12-10"
1,129.98,"2009-06-04"
3,115.98,"2009-06-04"
2,58,"2009-06-04"
1,128.65,"2009-06-04"
2,57.96,"2009-06-04"
2,57.96,"2009-06-04"
2,57.96,"2009-06-04"
1,93.48,"2009-06-04"
1,93.48,"2009-06-04"
2,54.9,"2009-12-10"
1,158.56,"2009-12-11"
1,178.77,"2009-12-11"
3,84.38,"2009-12-11"
2,59.22,"2009-12-11"
2,53.99,"2009-12-11"
1,160.48,"2009-12-11"
1,149.37,"2009-12-11"
2,54.9,"2009-12-11"
1,129.98,"2009-06-05"
3,115.98,"2009-06-05"
1,128.65,"2009-06-05"
2,57.96,"2009-06-05"
2,57.96,"2009-06-05"
2,57.96,"2009-06-05"
1,93.48,"2009-06-05"
1,158.56,"2009-12-12"
3,84.38,"2009-12-12"
2,53.95,"2009-12-12"
2,58,"2009-06-05"
1,129.98,"2009-06-06"
3,115.98,"2009-06-06"
1,93.48,"2009-06-05"
2,57.96,"2009-06-06"
2,57.96,"2009-06-06"
1,93.48,"2009-06-06"
1,93.48,"2009-06-06"
1,128.65,"2009-06-06"
2,57.96,"2009-06-06"
2,58,"2009-06-06"
1,160.48,"2009-12-12"
2,53.95,"2009-12-13"
1,158.56,"2009-12-13"
1,149.37,"2009-12-12"
1,135,"2009-12-12"
2,53.96,"2009-12-12"
3,84.38,"2009-12-13"
1,160.48,"2009-12-13"
1,129.98,"2009-06-07"
3,115.98,"2009-06-07"
2,57.96,"2009-06-07"
2,57.96,"2009-06-07"
2,58,"2009-06-07"
1,128.65,"2009-06-07"
2,57.96,"2009-06-07"
1,93.48,"2009-06-07"
1,93.48,"2009-06-07"
1,149.37,"2009-12-13"
1,135,"2009-12-13"
2,53.96,"2009-12-13"
1,159.95,"2009-12-14"
1,178.77,"2009-12-14"
2,53.94,"2009-12-14"
3,84.38,"2009-12-14"
2,59.22,"2009-12-14"
3,94.66,"2009-12-14"
1,129.98,"2009-06-08"
3,115.98,"2009-06-08"
1,184.8,"2009-12-14"
1,149.37,"2009-12-14"
2,53.94,"2009-12-14"
2,57.96,"2009-06-08"
2,57.96,"2009-06-08"
1,128.65,"2009-06-08"
2,57.96,"2009-06-08"
2,58,"2009-06-08"
1,93.48,"2009-06-08"
1,93.48,"2009-06-08"
1,158.93,"2009-12-15"
1,160.48,"2009-12-14"
2,53.94,"2009-12-15"
1,158.83,"2009-12-15"
3,84.38,"2009-12-15"
1,149.37,"2009-12-15"
3,94.66,"2009-12-15"
1,129.98,"2009-06-09"
3,115.98,"2009-06-09"
1,128.65,"2009-06-09"
2,57.96,"2009-06-09"
2,57.96,"2009-06-09"
1,93.48,"2009-06-09"
1,93.48,"2009-06-09"
2,57.96,"2009-06-09"
1,158.83,"2009-12-16"
2,53.94,"2009-12-15"
3,84.38,"2009-12-16"
2,53.93,"2009-12-16"
2,58,"2009-06-09"
1,158.93,"2009-12-16"
3,94.66,"2009-12-16"
1,129.98,"2009-06-10"
1,149.37,"2009-12-16"
2,57.96,"2009-06-10"
3,115.98,"2009-06-10"
1,128.65,"2009-06-10"
2,57.96,"2009-06-10"
2,58,"2009-06-10"
2,57.96,"2009-06-10"
1,158.83,"2009-12-17"
1,93.48,"2009-06-10"
1,93.48,"2009-06-10"
2,53.94,"2009-12-16"
2,53.9,"2009-12-17"
3,84.38,"2009-12-17"
1,142.56,"2009-06-11"
1,158.93,"2009-12-17"
3,94.66,"2009-12-17"
3,115.98,"2009-06-11"
1,149.37,"2009-12-17"
2,54.99,"2009-06-11"
2,57.96,"2009-06-11"
2,55.64,"2009-06-11"
1,128.65,"2009-06-11"
2,54.99,"2009-06-11"
2,58,"2009-06-11"
3,109.58,"2009-06-11"
1,91.97,"2009-06-11"
2,53.92,"2009-12-17"
2,53.15,"2009-12-18"
1,159.95,"2009-12-18"
2,53.15,"2009-12-18"
3,82.5,"2009-12-18"
2,54.99,"2009-06-12"
1,142.56,"2009-06-12"
1,116.43,"2009-06-12"
3,115.98,"2009-06-12"
1,128.65,"2009-06-12"
2,54.99,"2009-06-12"
2,57.96,"2009-06-12"
2,55.64,"2009-06-12"
3,109.58,"2009-06-12"
1,160.48,"2009-12-18"
2,53.15,"2009-12-19"
3,102.22,"2009-12-18"
1,171.99,"2009-12-19"
2,53.15,"2009-12-19"
2,55.5,"2009-06-12"
1,159.95,"2009-12-19"
1,90.47,"2009-06-12"
1,144.08,"2009-12-18"
2,53.15,"2009-12-18"
3,82.5,"2009-12-19"
2,53.15,"2009-12-19"
1,142.56,"2009-06-13"
3,102.22,"2009-12-19"
1,144.08,"2009-12-19"
2,53.15,"2009-12-19"
2,54.99,"2009-06-13"
1,160.48,"2009-12-19"
1,116.43,"2009-06-13"
3,115.98,"2009-06-13"
2,57.96,"2009-06-13"
2,55.64,"2009-06-13"
3,109.58,"2009-06-13"
1,90.47,"2009-06-13"
1,128.65,"2009-06-13"
2,54.99,"2009-06-13"
1,164.96,"2009-12-20"
1,159.95,"2009-12-20"
2,55.5,"2009-06-13"
3,82.5,"2009-12-20"
2,49.85,"2009-12-20"
2,49.85,"2009-12-20"
2,49.75,"2009-12-20"
2,49.85,"2009-12-20"
3,102.23,"2009-12-20"
2,54.99,"2009-06-14"
1,128.65,"2009-06-14"
3,115.98,"2009-06-14"
1,116.43,"2009-06-14"
1,142.56,"2009-06-14"
2,54.99,"2009-06-14"
2,55.5,"2009-06-14"
1,160.48,"2009-12-20"
2,57.96,"2009-06-14"
2,55.64,"2009-06-14"
3,109.58,"2009-06-14"
1,144.08,"2009-12-20"
1,172.99,"2009-12-21"
2,49.85,"2009-12-21"
1,159.95,"2009-12-21"
3,82.5,"2009-12-21"
2,49.85,"2009-12-21"
2,49.75,"2009-12-21"
2,49.85,"2009-12-21"
1,142.56,"2009-06-15"
2,54.99,"2009-06-15"
2,55.5,"2009-06-15"
3,102.24,"2009-12-21"
1,116.43,"2009-06-15"
3,115.98,"2009-06-15"
1,128.65,"2009-06-15"
2,53.49,"2009-06-15"
2,49.85,"2009-12-21"
2,49.85,"2009-12-21"
1,90.47,"2009-06-14"
2,57.96,"2009-06-15"
2,55.64,"2009-06-15"
3,109.58,"2009-06-15"
1,90.47,"2009-06-15"
3,99.9,"2009-12-22"
2,49.85,"2009-12-22"
2,49.75,"2009-12-22"
1,171.99,"2009-12-22"
1,159.95,"2009-12-22"
2,49.85,"2009-12-22"
3,98.55,"2009-12-22"
2,49.85,"2009-12-22"
2,49.85,"2009-12-22"
1,128.65,"2009-06-16"
3,115.98,"2009-06-16"
1,116.43,"2009-06-16"
2,54.99,"2009-06-16"
1,142.56,"2009-06-16"
2,57.96,"2009-06-16"
2,55.64,"2009-06-16"
3,99.9,"2009-12-23"
2,53.49,"2009-06-16"
2,49.85,"2009-12-23"
1,171.99,"2009-12-23"
2,49.85,"2009-12-23"
2,55.5,"2009-06-16"
1,159.95,"2009-12-23"
3,109.58,"2009-06-16"
2,49.85,"2009-12-22"
2,49.85,"2009-12-23"
2,49.85,"2009-12-23"
1,142.56,"2009-06-17"
3,98.55,"2009-12-23"
2,49.75,"2009-12-23"
2,54.99,"2009-06-17"
1,90.47,"2009-06-16"
2,57.96,"2009-06-17"
2,55.64,"2009-06-17"
1,116.43,"2009-06-17"
3,115.98,"2009-06-17"
1,128.65,"2009-06-17"
2,53.49,"2009-06-17"
2,55.5,"2009-06-17"
3,109.58,"2009-06-17"
1,90.47,"2009-06-17"
2,49.85,"2009-12-23"
2,49.85,"2009-12-24"
2,49.75,"2009-12-24"
1,159.95,"2009-12-24"
3,82.5,"2009-12-24"
2,48.98,"2009-12-24"
2,49.85,"2009-12-24"
2,54.99,"2009-06-18"
3,102.24,"2009-12-24"
1,128.65,"2009-06-18"
3,115.98,"2009-06-18"
1,116.43,"2009-06-18"
2,54.99,"2009-06-18"
1,142.56,"2009-06-18"
2,57.96,"2009-06-18"
2,55.64,"2009-06-18"
3,109.58,"2009-06-18"
1,90.47,"2009-06-18"
2,55.5,"2009-06-18"
2,49.85,"2009-12-24"
3,82.5,"2009-12-25"
2,48.98,"2009-12-25"
2,49.85,"2009-12-25"
1,159.95,"2009-12-25"
2,49.85,"2009-12-25"
2,49.75,"2009-12-25"
3,102.24,"2009-12-25"
3,115.98,"2009-06-19"
1,167.5,"2009-06-19"
2,57.96,"2009-06-19"
1,151.43,"2009-06-19"
2,54.99,"2009-06-19"
2,55.5,"2009-06-19"
2,55.64,"2009-06-19"
3,109.58,"2009-06-19"
2,49.85,"2009-12-25"
2,54.99,"2009-06-19"
3,115.98,"2009-06-20"
1,120.03,"2009-06-20"
2,54.99,"2009-06-20"
1,167.5,"2009-06-20"
2,57.96,"2009-06-20"
2,55.64,"2009-06-20"
3,109.58,"2009-06-20"
2,58,"2009-06-20"
2,54.99,"2009-06-20"
1,166.74,"2009-12-27"
2,55.5,"2009-06-20"
